name|female|birthdate|birthplace|link
Emilia Jones|True|2002-02-23|['Westminster', ', London, England']|https://en.wikipedia.org/wiki/Emilia_Jones
Eugenio Derbez|False|1961-09-02|['Mexico City']|https://en.wikipedia.org/wiki/Eugenio_Derbez
Troy Kotsur|False|1968-07-24|['Mesa', ', ', 'Arizona', ', U.S.']|https://en.wikipedia.org/wiki/Troy_Kotsur
Ferdia Walsh-Peelo|False|1999-10-12|['Ashford, County Wicklow', ',', '[', 'citation needed', ']', ' Ireland']|https://en.wikipedia.org/wiki/Ferdia_Walsh-Peelo
Rebecca Ferguson|True|1983-10-19|['Stockholm', ', Sweden']|https://en.wikipedia.org/wiki/Rebecca_Ferguson
Timothée Chalamet|False|1995-12-27|['New York City, U.S.']|https://en.wikipedia.org/wiki/Timoth%C3%A9e_Chalamet
Cherry Jones|True|1956-11-21|['Paris, Tennessee', ', U.S.']|https://en.wikipedia.org/wiki/Cherry_Jones
Daniel Durant|False||['Detroit, Michigan', ', U.S.']|https://en.wikipedia.org/wiki/Daniel_Durant
Marlee Matlin|True|1965-08-24|['Morton Grove', ', ', 'Illinois', ', U.S.']|https://en.wikipedia.org/wiki/Marlee_Matlin
Vincent D'Onofrio|False|1959-06-30|['New York City', ', U.S.']|https://en.wikipedia.org/wiki/Vincent_D%27Onofrio
Andrew Garfield|False|1983-08-20|['Los Angeles, California', ', U.S.']|https://en.wikipedia.org/wiki/Andrew_Garfield
Hidetoshi Nishijima (actor)|False|1971-03-29|['Hachiōji', ', ', 'Tokyo', ', Japan']|https://en.wikipedia.org/wiki/Hidetoshi_Nishijima_(actor)
Oscar Isaac|False|1979-03-09|['Guatemala City', ', Guatemala']|https://en.wikipedia.org/wiki/Oscar_Isaac
Daniel Craig|False|1968-03-02|['Chester', ', ', 'Cheshire', ', England']|https://en.wikipedia.org/wiki/Daniel_Craig
Josh Brolin|False|1968-02-12|['Santa Monica, California', ', U.S.']|https://en.wikipedia.org/wiki/Josh_Brolin
Tōko Miura|True|1996-10-20|['Hokkaido', ', Japan']|https://en.wikipedia.org/wiki/T%C5%8Dko_Miura
Stellan Skarsgård|False|1951-06-13|['Gothenburg', ', Sweden']|https://en.wikipedia.org/wiki/Stellan_Skarsg%C3%A5rd
